"","Sites","AB","SR","BI","Com.dist","Hunting"
"16965","5",22,12,186.04,-0.103848950764644,0
"16966","6",9,5,59.55,-1.65297188284342,1
"16967","7",14,7,46.752,-0.838026006137351,1
"16968","8",11,5,51.916,-0.475063981855253,1
"16969","9",26,14,162.308,0.260403464110951,1
"16970","10",20,13,283.21,0.799097476221641,1
"16971","11",9,6,44.476,-1.16142935035878,1
"16972","12",11,5,47.664,-0.891118632925657,1
"16973","13",12,5,79.88,-0.285775515484963,1
"16974","14",24,9,101.236,0.287016934702205,1
"16975","15",25,11,300.744,0.752674627610676,1
"16976","16",6,4,72.06,-0.91490098004188,0
"16977","17",21,9,194.956,-0.557811453649108,0
"16978","18",8,5,93.1,-0.304285394021343,0
"16979","19",46,13,382.118,0.254564067111078,0
"16980","20",40,14,473.948,0.683746376927438,0
"16981","1",21,10,120.59,-1.11989236443133,0
"16982","2",22,9,176.876,-0.774654473469132,0
"16983","3",28,12,190.49,-0.121274545357364,0
"16984","4",37,13,293.696,0.402591289386846,0
"16985","5",23,10,188.29,-0.103848950764644,0
"16986","6",20,6,44.85,-1.65297188284342,1
"16987","7",22,12,108.494,-0.838026006137351,1
"16988","8",12,8,44.818,-0.475063981855253,1
"16989","9",29,13,137.044,0.260403464110951,1
"16990","10",18,6,83.35,0.799097476221641,1
"16991","11",22,8,85.226,-1.16142935035878,1
"16992","12",24,10,76.406,-0.891118632925657,1
"16993","13",20,11,128.448,-0.285775515484963,1
"16994","14",32,10,152.222,0.287016934702205,1
"16995","15",22,15,336.018,0.752674627610676,1
"16996","16",17,8,122.28,-0.91490098004188,0
"16997","17",24,12,144.534,-0.557811453649108,0
"16998","18",24,9,198.188,-0.304285394021343,0
"16999","19",39,15,282.078,0.254564067111078,0
"17000","20",34,13,293.35,0.683746376927438,0
"17001","1",11,9,92.91,-1.11989236443133,0
"17002","2",21,11,180.086,-0.774654473469132,0
"17003","3",21,12,260.206,-0.121274545357364,0
"17004","4",42,13,490.45,0.402591289386846,0
"17005","5",21,11,239.336,-0.103848950764644,0
"17006","6",8,6,42.87,-1.65297188284342,1
"17007","7",17,12,103.464,-0.838026006137351,1
"17008","8",11,9,134.46,-0.475063981855253,1
"17009","9",18,13,79.782,0.260403464110951,1
"17010","10",15,8,104.844,0.799097476221641,1
"17011","11",9,8,47.676,-1.16142935035878,1
"17012","12",14,8,90.956,-0.891118632925657,1
"17013","13",7,6,92.78,-0.285775515484963,1
"17014","14",15,9,115.328,0.287016934702205,1
"17015","15",20,11,366.856,0.752674627610676,1
"17016","16",14,7,175.26,-0.91490098004188,0
"17017","17",21,10,143.628,-0.557811453649108,0
"17018","18",13,8,144.85,-0.304285394021343,0
"17019","19",34,16,225.692,0.254564067111078,0
"17020","20",24,14,172.656,0.683746376927438,0
"17021","1",13,8,143.41,-1.11989236443133,0
"17022","2",19,9,125.888,-0.774654473469132,0
"17023","3",22,9,265.88,-0.121274545357364,0
"17024","4",38,11,484.554,0.402591289386846,0
"17025","5",20,12,243.33,-0.103848950764644,0
"17026","6",8,6,93.05,-1.65297188284342,1
"17027","7",15,9,78.664,-0.838026006137351,1
"17028","8",10,7,85.468,-0.475063981855253,1
"17029","9",18,12,84.164,0.260403464110951,1
"17030","10",9,7,56.91,0.799097476221641,1
"17031","11",8,8,217.588,-1.16142935035878,1
"17032","12",8,7,91.988,-0.891118632925657,1
"17033","13",11,7,80.18,-0.285775515484963,1
"17034","14",16,8,106.608,0.287016934702205,1
"17035","15",23,12,511.194,0.752674627610676,1
"17036","16",7,4,90.28,-0.91490098004188,0
"17037","17",13,5,87.368,-0.557811453649108,0
"17038","18",8,6,72.976,-0.304285394021343,0
"17039","19",27,13,167.028,0.254564067111078,0
"17040","20",16,9,62.988,0.683746376927438,0
"17041","1",8,7,54.93,-1.11989236443133,0
"17042","2",14,7,71.438,-0.774654473469132,0
"17043","3",16,11,202.4,-0.121274545357364,0
"17044","4",35,13,454.228,0.402591289386846,0
"17045","5",14,10,180.48,-0.103848950764644,0
"17046","6",5,3,12.95,-1.65297188284342,1
"17047","7",14,9,57.856,-0.838026006137351,1
"17048","8",7,6,45.348,-0.475063981855253,1
"17049","9",20,14,116.422,0.260403464110951,1
"17050","10",9,7,60.71,0.799097476221641,1
"17051","11",9,5,19.436,-1.16142935035878,1
"17052","12",17,10,96.356,-0.891118632925657,1
"17053","13",13,9,78.918,-0.285775515484963,1
"17054","14",18,12,126.916,0.287016934702205,1
"17055","15",17,9,311.008,0.752674627610676,1
"17056","16",10,7,125.63,-0.91490098004188,0
"17057","17",15,8,89.718,-0.557811453649108,0
"17058","18",10,7,114.73,-0.304285394021343,0
"17059","19",28,15,211.028,0.254564067111078,0
"17060","20",18,7,179.78,0.683746376927438,0
"17061","1",8,5,114.73,-1.11989236443133,0
"17062","2",14,11,87.618,-0.774654473469132,0
"17063","3",17,11,327.4,-0.121274545357364,0
"17064","4",37,15,667.286,0.402591289386846,0
"17065","5",22,14,212.768,-0.103848950764644,0
"17066","6",5,5,12.17,-1.65297188284342,1
"17067","7",11,8,36.888,-0.838026006137351,1
"17068","8",9,6,89.64,-0.475063981855253,1
"17069","9",21,13,454.164,0.260403464110951,1
"17070","10",16,9,413.18,0.799097476221641,1
"17071","11",7,4,27.976,-1.16142935035878,1
"17072","12",11,9,198.746,-0.891118632925657,1
"17073","13",9,8,99.08,-0.285775515484963,1
"17074","14",16,8,246.048,0.287016934702205,1
"17075","15",25,12,640.988,0.752674627610676,1
"17076","16",10,6,101.16,-0.91490098004188,0
"17077","17",15,7,148.288,-0.557811453649108,0
"17078","18",14,8,99.858,-0.304285394021343,0
"17079","19",29,13,174.116,0.254564067111078,0
"17080","20",27,12,695.05,0.683746376927438,0
"17081","1",10,7,54.078,-1.11989236443133,0
"17082","2",15,8,94.238,-0.774654473469132,0
"17083","3",20,9,120.2,-0.121274545357364,0
"17084","4",34,13,339.298,0.402591289386846,0
"17085","5",21,16,201.268,-0.103848950764644,0
"17086","6",7,5,36.25,-1.65297188284342,1
"17087","7",13,10,41.876,-0.838026006137351,1
"17088","8",10,8,59.348,-0.475063981855253,1
"17089","9",27,17,160.178,0.260403464110951,1
"17090","10",16,13,116.468,0.799097476221641,1
"17091","11",12,8,40.736,-1.16142935035878,1
"17092","12",15,11,96.144,-0.891118632925657,1
"17093","13",14,9,76.93,-0.285775515484963,1
"17094","14",16,9,87.312,0.287016934702205,1
"17095","15",22,12,255.656,0.752674627610676,1
"17096","16",17,9,173.63,-0.91490098004188,0
"17097","17",17,9,110.918,-0.557811453649108,0
"17098","18",9,9,96.3,-0.304285394021343,0
"17099","19",24,12,213.328,0.254564067111078,0
"17100","20",23,13,203.588,0.683746376927438,0
"17101","1",13,10,90.3,-1.11989236443133,0
"17102","2",13,10,94.908,-0.774654473469132,0
"17103","3",19,11,178.04,-0.121274545357364,0
"17104","4",32,12,277.378,0.402591289386846,0
"17105","5",23,10,339.66,-0.103848950764644,0
"17106","6",7,5,22.24,-1.65297188284342,1
"17107","7",14,10,96.276,-0.838026006137351,1
"17108","8",7,6,39.8,-0.475063981855253,1
"17109","9",20,14,76.566,0.260403464110951,1
"17110","10",21,14,165.428,0.799097476221641,1
"17111","11",8,7,43.546,-1.16142935035878,1
"17112","12",5,5,30.788,-0.891118632925657,1
"17113","13",11,9,104.468,-0.285775515484963,1
"17114","14",20,12,124.252,0.287016934702205,1
"17115","15",27,15,342.516,0.752674627610676,1
"17116","16",10,9,56.58,-0.91490098004188,0
"17117","17",17,10,196.018,-0.557811453649108,0
"17118","18",13,11,110.56,-0.304285394021343,0
"17119","19",28,17,179.568,0.254564067111078,0
"17120","20",22,11,135.628,0.683746376927438,0
"17121","1",12,10,62.13,-1.11989236443133,0
"17122","2",18,12,115.958,-0.774654473469132,0
"17123","3",28,17,165.278,-0.121274545357364,0
"17124","4",50,20,379.176,0.402591289386846,0
"17125","5",30,17,230.18,-0.103848950764644,0
"17126","6",9,8,50.1,-1.65297188284342,1
