camera_id;Housholds
PER-T4-C2-2070;0
PER-T4-C1-1350;3
PER-T4-C4-4000;0
PER-T4-C3-2830;0
PER-T4-C5-6000;0
PER-T3-C1-400;6
PER-T3-C3-2580;0
PER-T3-C2-1520;0
PER-T3-C5-5670;0
PER-T3-C4-3880;0
PER-T2-C2-1550;0
PER-T2-C1-550;21
PER-T2-C4-4090;0
PER-T2-C3-2460;0
PER-T2-C5-5670;0
PER-T1-C3-2770;0
PER-T1-C2-1550;0
PER-T1-C5-5850;0
PER-T1-C4-4000;0
PER-T1-C1-1080;4
